"","id","rep","n.trt","inoc","block","machine","Vcmax.TPU","Jmax.TPU","Rd.TPU","TPU.TPU","leaf.temp","A","Ci","Ca","gsw","iwue","ci.ca","Vcmax25.TPU","Jmax25.TPU","Rd25.Vcmax25","Jmax25.Vcmax25","Vcmax.gs"
"1","r1_hn_ni","01","HN","NI",1,"nvg",86.4220300692016,90.4450614270214,0.293349464746017,NA,26.7799352414286,13.81840144,270.4016245,390.751,0.209328513,66.0129919329241,0.692004945604746,73.5164781581458,81.1145719221327,0.00399025459455464,1.10335225454683,412.85359949603
"2","r1_hn_yi","01","HN","YI",1,"nvg",91.0224889562205,79.2564392624251,1.77089715743185,NA,27.3644810421429,8.93958573,223.8293519,394.124,0.091163626,98.0608837344842,0.567916066770864,73.5353102928932,68.6857101607583,0.0240822694618179,0.934050728652415,998.451827225702
"3","r1_ln_ni","01","LN","NI",1,"alb",75.3245919969178,81.1488862475278,0.506248136575654,5.79239840719188,26.4911035908333,12.66444311,316.6313152,391.144,0.334419948,37.8698794307569,0.80950063199231,65.7507965620266,74.0421918251741,0.00769949815129739,1.1261033431789,225.239530259474
"4","r1_ln_yi","01","LN","YI",1,"alb",94.1163547820697,101.974562666415,0.757798744064834,7.11600724968828,26.3950550514286,15.05484348,246.4457625,390.2,0.185211386,81.2846542814598,0.63158832009226,82.8653682084572,93.5825011528684,0.00914493907947776,1.12933186898357,508.156419617041
"5","r10_hn_ni","10","HN","NI",3,"gib",45.571499289895,41.2353040490992,0.558333234669511,2.80205862147317,27.8207208435714,5.693058674,272.949631,396.2119928,0.082307253,69.1683717594123,0.688897953519997,35.3842847302886,34.8137164633261,0.0157791301682462,0.983875093948867,553.675376456738
"6","r10_hn_yi","10","HN","YI",3,"ozz",77.071708190362,77.7492454885393,0.72308153563266,NA,26.995465255,11.48847194,263.1648799,392.382,0.159883398,71.8553150840589,0.670685403254991,64.32047299817,68.846344408072,0.0112418566270996,1.07036439875109,482.049475770849
"7","r10_ln_ni","10","LN","NI",3,"alb",99.3210056681199,106.085074777448,2.87575967876182,6.0306710318095,26.673153785,12.73204369,290.468109,391.531,0.233243159,54.5869972975285,0.741877677629613,85.2970261179052,95.7469932930881,0.0337146534837767,1.1225126789384,425.826018194686
"8","r10_ln_yi","10","LN","YI",3,"ozz",66.3727740083003,70.2868323158668,0.792198773407306,NA,27.2854839328571,10.20949768,258.8477613,393.251,0.135891483,75.1297833728108,0.658225309789422,53.9938997013351,61.192121570084,0.0146720051300113,1.13331546542416,488.424826508813
"9","r11_hn_ni","11","HN","NI",3,"ozz",71.0751219727485,63.0225466743407,0.648139654194983,NA,27.2456478821429,8.801583583,249.68531,394.203,0.107781401,81.6614323189211,0.633392718979815,58.0218474415839,54.9950331010728,0.0111706138769112,0.947833196046395,659.437725927765
"10","r11_hn_yi","11","HN","YI",3,"alb",59.0643862211662,63.1455211189129,0.773288869807026,NA,26.9408849342857,8.898720143,280.0558748,394.061,0.140831956,63.1867964895695,0.710691681744705,49.5311945965254,56.0948468118188,0.0156121586831518,1.13251552418148,419.396193156376
"11","r11_ln_ni","11","LN","NI",3,"gib",80.9740038555225,79.4390620318791,0.441228961110742,5.32168705787025,27.1841503608333,12.35911705,296.9790407,391.7059842,0.244843359,50.4776486504582,0.758168250369048,66.4612130636889,69.5693653650441,0.00663889418762065,1.04676640943006,330.717582809843
"12","r11_ln_yi","11","LN","YI",3,"nvg",92.8607489431138,87.9708409476731,0.608189379055655,6.39723941301855,26.6605711133333,13.35273553,303.4349183,390.855,0.293572375,45.4836240296792,0.776336284043955,79.8385559515432,79.4575553174256,0.0076177402234678,0.995227861656857,316.312966923791
"13","r12_hn_ni","12","HN","NI",3,"ozz",59.3940846169367,51.4698882606075,0.755278624569371,NA,27.5885364478571,6.947536248,265.5210022,395.419,0.09416412,73.7811413519289,0.671492776523131,47.0542244054972,44.0332047806306,0.0160512394819355,0.93579705832929,630.750700127997
"14","r12_hn_yi","12","HN","YI",3,"ozz",66.2614787489936,61.025801593387,0.918077271808525,4.36049270893617,27.281942595,8.417188841,266.6341503,394.377,0.118111204,71.2649482516494,0.676089503951802,53.9201180363097,53.1403476010175,0.0170266183614489,0.985538413792658,561.009256573098
"15","r12_ln_ni","12","LN","NI",3,"alb",63.9048375434547,75.4512247086039,0.689615029081069,4.78660842636036,26.6383706992308,12.28053336,308.3918791,391.585,0.281950629,43.5556161146213,0.78754773318692,55.0522540277766,68.2397771626401,0.0125265539306188,1.23954556208016,226.652580170178
"16","r12_ln_yi","12","LN","YI",3,"nvg",101.301355444131,103.706872684223,0.344156351944441,5.85210935009259,26.8558246941667,14.50203695,280.685058,390.385,0.244723763,59.2588017290336,0.718995499314779,85.5944221489431,92.5910971112299,0.00402078013150873,1.08174218350481,413.941638532793
"17","r13_hn_ni","13","HN","NI",4,"gib",62.9483916984816,97.7963790491602,0.576733469146329,NA,27.3901929585714,9.011250007,203.2050635,394.1949887,0.080571427,111.841757587339,0.515493776747751,50.7404692439642,84.6269155032676,0.0113663408663674,1.66783864564544,781.274380289697
"18","r13_hn_yi","13","HN","YI",4,"gib",77.5166831066687,77.5134143320726,0.930217030524507,4.8719039068415,27.3844413414286,11.13579614,250.141015,392.641,0.139151565,80.0263808746959,0.637073089667151,62.5149074665564,67.0976126566083,0.01487992333704,1.07330579818107,557.066556216372
