id,dry.biomass
r1_hn_ni,0.0891
r1_hn_yi,0.1063
r1_ln_ni,0.0777
r1_ln_yi,0.1035
r10_hn_ni,0.0841
r10_hn_yi,0.0751
r10_ln_ni,0.0828
r10_ln_yi,0.0686
r11_hn_ni,0.0884
r11_hn_yi,0.0862
r11_ln_ni,0.0658
r11_ln_yi,0.0679
r12_hn_ni,0.0871
r12_hn_yi,0.071
r12_ln_ni,0.0765
r12_ln_yi,0.101
r13_hn_ni,0.1019
r13_hn_yi,0.0906
r13_ln_ni,0.0719
r13_ln_yi,0.0768
r14_hn_ni,0.08
r14_hn_yi,0.1075
r14_ln_ni,0.0953
r14_ln_yi,0.0593
r15_hn_ni,0.0797
r15_hn_yi,0.1282
r15_ln_ni,0.0816
r15_ln_yi,0.0761
r16_hn_ni,0.0682
r16_hn_yi,0.0805
r16_ln_ni,0.0915
r16_ln_yi,0.0695
r2_hn_ni,0.1071
r2_hn_yi,0.0962
r2_ln_ni,0.0909
r2_ln_yi,0.0753
r3_hn_ni,0.0808
r3_hn_yi,0.0731
r3_ln_ni,0.0656
r3_ln_yi,0.0762
r4_hn_ni,0.0774
r4_hn_yi,0.0971
r4_ln_ni,0.0468
r4_ln_yi,0.0885
r5_hn_ni,0.1096
r5_hn_yi,0.1345
r5_ln_ni,0.0765
r5_ln_yi,0.1096
r6_hn_ni,0.0906
r6_hn_yi,0.1351
r6_ln_ni,0.075
r6_ln_yi,0.0735
r7_hn_ni,0.107
r7_hn_yi,0.0743
r7_ln_ni,0.0487
r7_ln_yi,0.0764
r8_hn_ni,0.1136
r8_hn_yi,0.1266
r8_ln_ni,0.0596
r8_ln_yi,0.0796
r9_hn_ni,0.1025
r9_hn_yi,0.0797
r9_ln_ni,0.0632
r9_ln_yi,0.084
