id,focal.biomass,total.leaf.area,leaf.biomass,stem.biomass,root.biomass,nodule.biomass
r1_hn_ni,0.0891,1022.03,2.0541,1.5136,NA,NA
r1_hn_yi,0.1063,1078.05,2.249,1.5901,0.3455,0.0066
r1_ln_ni,0.0777,570.29,1.2604,1.0404,0.7118,0.0387
r1_ln_yi,0.1035,945.72,1.8396,1.5932,0.8649,0.0664
r10_hn_ni,0.0841,1211.14,2.6129,2.1988,0.9091,0.0000
r10_hn_yi,0.0751,945.97,1.9953,1.6318,2.1345,0.0285
r10_ln_ni,0.0828,490.53,1.1122,1.0407,0.9469,0.0016
r10_ln_yi,0.0686,745.87,1.5432,1.2107,0.9171,0.0596
r11_hn_ni,0.0884,1070.31,2.0694,1.5525,0.6018,0.0000
r11_hn_yi,0.0862,1061.82,2.1236,1.8852,NA,NA
r11_ln_ni,0.0658,546.82,1.1805,1.031,1.4822,0.0000
r11_ln_yi,0.0679,1167.38,1.1307,0.8642,NA,NA
r12_hn_ni,0.0871,1052.37,2.1526,1.8198,0.4503,0.0000
r12_hn_yi,0.071,1125.82,2.2282,1.613,0.2295,0.0059
r12_ln_ni,0.0765,443.1,1.148,1.0741,0.8432,
r12_ln_yi,0.101,753.55,1.6067,1.2806,0.8609,0.0718
r13_hn_ni,0.1019,1338.89,2.6688,2.2891,2.5998,0.0000
r13_hn_yi,0.0906,1057.9,2.4328,1.9402,0.7209,0.0053
r13_ln_ni,0.0719,490.17,1.0194,1.0214,0.7342,
r13_ln_yi,0.0768,782.64,1.628,1.5117,1.165,0.0667
r14_hn_ni,0.08,1210.36,2.5321,2.1122,NA,NA
r14_hn_yi,0.1075,1275.5,2.6649,2.3408,0.6858,0.0412
r14_ln_ni,0.0953,537.14,1.3012,1.2785,0.9045,0.0000
r14_ln_yi,0.0593,879.88,1.7096,1.3164,0.3665,0.0074
r15_hn_ni,0.0797,1130.81,2.3288,1.9342,1.8954,0.0000
r15_hn_yi,0.1282,1284.97,2.8196,2.4125,1.0094,0.0207
r15_ln_ni,0.0816,482.97,1.1505,1.0391,0.6032,0.0000
r15_ln_yi,0.0761,672.7,1.547,1.1133,0.7242,0.0536
r16_hn_ni,0.0682,1155.27,2.1487,1.542,0.4211,0.0000
r16_hn_yi,0.0805,1247.92,2.2936,1.7056,2.247,0.0078
r16_ln_ni,0.0915,653.63,1.5155,1.4289,0.8378,0.0000
r16_ln_yi,0.0695,584.48,1.2356,0.8918,0.4453,0.0182
r2_hn_ni,0.1071,993.62,2.3375,1.739,0.8944,0.0106
r2_hn_yi,0.0962,1282.83,2.3832,1.6878,0.5323,0.0002
r2_ln_ni,0.0909,624.49,1.4966,1.186,3.4192,0.0000
r2_ln_yi,0.0753,642.82,1.2626,0.9446,1.5217,0.0472
r3_hn_ni,0.0808,1109.92,2.1837,1.621,0.6969,0.0123
r3_hn_yi,0.0731,960.58,1.8835,1.1256,0.5384,0.0235
r3_ln_ni,0.0656,612.41,1.2591,1.0739,NA,NA
r3_ln_yi,0.0762,776.16,1.5262,1.1925,0.4609,0.0274
r4_hn_ni,0.0774,1003.8,2.2505,1.7527,0.5996,0.0002
r4_hn_yi,0.0971,1106.17,2.2648,1.6109,NA,0.0231
r4_ln_ni,0.0468,475.49,1.004,0.742,0.6379,0.0302
r4_ln_yi,0.0885,699.7,1.5275,1.3106,1.992,0.0158
r5_hn_ni,0.1096,1135.08,2.4747,2.1149,0.6956,0.0185
r5_hn_yi,0.1345,1441.24,3.1274,2.6627,3.5945,0.0231
r5_ln_ni,0.0765,320.94,0.7121,0.5988,0.4865,0.0000
r5_ln_yi,0.1096,802.42,1.6346,1.2307,0.3346,0.0000
r6_hn_ni,0.0906,1158.13,2.3727,1.67,1.3575,0.0000
r6_hn_yi,0.1351,1146.43,2.6076,2.0652,0.6232,0.0206
r6_ln_ni,0.075,399.37,0.9912,0.8904,2.4782,0.0000
r6_ln_yi,0.0735,757.99,1.525,1.1748,0.4124,0.0003
r7_hn_ni,0.107,1087.39,2.1273,1.5303,0.6059,0.0000
r7_hn_yi,0.0743,1304.17,2.4574,1.6618,0.2505,0.0000
r7_ln_ni,0.0487,352.94,0.7507,0.6028,0.5591,0.0000
r7_ln_yi,0.0764,736.29,1.4054,0.9934,0.1723,0.0000
r8_hn_ni,0.1136,1207.51,2.6062,2.0245,1.5063,0.0000
r8_hn_yi,0.1266,1216.39,2.8158,2.3168,0.7872,0.0111
r8_ln_ni,0.0596,372.78,0.9563,0.7806,0.7361,0.0000
r8_ln_yi,0.0796,878.9,1.748,1.3884,0.2616,0.0000
r9_hn_ni,0.1025,1023.57,2.2515,1.747,1.1257,0.0000
r9_hn_yi,0.0797,1126.93,2.2008,1.7133,0.3273,0.0077
r9_ln_ni,0.0632,321.8,0.8133,0.639,1.543,0.0000
r9_ln_yi,0.084,707.92,1.5526,1.3109,1.375,0.0611
