Station_ID,Date_Time,solar_radiation_set_1
,,W/m**2
E3644,08/05/2021 16:03 CDT,840
E3644,08/05/2021 16:08 CDT,791
E3644,08/05/2021 16:13 CDT,784
E3644,08/05/2021 16:18 CDT,765
E3644,08/05/2021 16:23 CDT,754
E3644,08/05/2021 16:28 CDT,179
E3644,08/05/2021 16:33 CDT,199
E3644,08/05/2021 16:38 CDT,715
E3644,08/05/2021 16:43 CDT,712
E3644,08/05/2021 16:48 CDT,701
E3644,08/05/2021 16:53 CDT,679
E3644,08/05/2021 16:58 CDT,647
E3644,08/05/2021 17:03 CDT,621
E3644,08/05/2021 17:08 CDT,605
E3644,08/05/2021 17:13 CDT,592
E3644,08/05/2021 17:18 CDT,573
E3644,08/05/2021 17:23 CDT,570
E3644,08/05/2021 17:28 CDT,559
E3644,08/05/2021 17:33 CDT,510
E3644,08/05/2021 17:38 CDT,531
E3644,08/05/2021 17:43 CDT,534
E3644,08/05/2021 17:48 CDT,519
E3644,08/05/2021 17:53 CDT,485
E3644,08/05/2021 17:58 CDT,457
E3644,08/05/2021 18:03 CDT,429
E3644,08/05/2021 18:08 CDT,411
E3644,08/05/2021 18:13 CDT,399
E3644,08/05/2021 18:18 CDT,371
E3644,08/05/2021 18:23 CDT,359
E3644,08/05/2021 18:28 CDT,345
E3644,08/05/2021 18:33 CDT,327
E3644,08/05/2021 18:38 CDT,306
E3644,08/05/2021 18:43 CDT,281
E3644,08/05/2021 18:48 CDT,243
E3644,08/05/2021 18:53 CDT,239
E3644,08/05/2021 18:58 CDT,216
E3644,08/05/2021 19:03 CDT,192
E3644,08/05/2021 19:08 CDT,174
E3644,08/05/2021 19:13 CDT,155
E3644,08/05/2021 19:18 CDT,135
E3644,08/05/2021 19:23 CDT,120
E3644,08/05/2021 19:28 CDT,104
E3644,08/05/2021 19:33 CDT,91
E3644,08/05/2021 19:38 CDT,76
E3644,08/05/2021 19:43 CDT,69
E3644,08/05/2021 19:48 CDT,58
E3644,08/05/2021 19:53 CDT,47
E3644,08/05/2021 19:58 CDT,42
E3644,08/05/2021 20:03 CDT,39
E3644,08/05/2021 20:08 CDT,35
E3644,08/05/2021 20:13 CDT,30
E3644,08/05/2021 20:18 CDT,26
E3644,08/05/2021 20:23 CDT,21
E3644,08/05/2021 20:28 CDT,18
E3644,08/05/2021 20:33 CDT,12
E3644,08/05/2021 20:38 CDT,9
E3644,08/05/2021 20:43 CDT,5
E3644,08/05/2021 20:48 CDT,0
E3644,08/05/2021 20:53 CDT,0
E3644,08/05/2021 20:58 CDT,0
E3644,08/05/2021 21:03 CDT,0
E3644,08/05/2021 21:08 CDT,0
E3644,08/05/2021 21:13 CDT,0
E3644,08/05/2021 21:18 CDT,0
E3644,08/05/2021 21:23 CDT,0
E3644,08/05/2021 21:28 CDT,0
E3644,08/05/2021 21:33 CDT,0
E3644,08/05/2021 21:38 CDT,0
E3644,08/05/2021 21:43 CDT,0
E3644,08/05/2021 21:48 CDT,0
E3644,08/05/2021 21:53 CDT,0
E3644,08/05/2021 21:58 CDT,0
E3644,08/05/2021 22:03 CDT,0
E3644,08/05/2021 22:08 CDT,0
E3644,08/05/2021 22:13 CDT,0
E3644,08/05/2021 22:18 CDT,0
E3644,08/05/2021 22:23 CDT,0
E3644,08/05/2021 22:28 CDT,0
E3644,08/05/2021 22:33 CDT,0
E3644,08/05/2021 22:38 CDT,0
E3644,08/05/2021 22:43 CDT,0
E3644,08/05/2021 22:48 CDT,0
E3644,08/05/2021 22:53 CDT,0
E3644,08/05/2021 22:58 CDT,0
E3644,08/05/2021 23:03 CDT,0
E3644,08/05/2021 23:08 CDT,0
E3644,08/05/2021 23:13 CDT,0
E3644,08/05/2021 23:18 CDT,0
E3644,08/05/2021 23:23 CDT,0
E3644,08/05/2021 23:28 CDT,0
E3644,08/05/2021 23:33 CDT,0
E3644,08/05/2021 23:38 CDT,0
E3644,08/05/2021 23:43 CDT,0
E3644,08/05/2021 23:48 CDT,0
E3644,08/05/2021 23:53 CDT,0
E3644,08/05/2021 23:58 CDT,0
E3644,08/06/2021 00:03 CDT,0
E3644,08/06/2021 00:08 CDT,0
E3644,08/06/2021 00:13 CDT,0
E3644,08/06/2021 00:18 CDT,0
E3644,08/06/2021 00:23 CDT,0
E3644,08/06/2021 00:28 CDT,0
E3644,08/06/2021 00:33 CDT,0
E3644,08/06/2021 00:38 CDT,0
E3644,08/06/2021 00:43 CDT,0
E3644,08/06/2021 00:48 CDT,0
E3644,08/06/2021 00:53 CDT,0
E3644,08/06/2021 00:58 CDT,0
E3644,08/06/2021 01:03 CDT,0
E3644,08/06/2021 01:08 CDT,0
E3644,08/06/2021 01:13 CDT,0
E3644,08/06/2021 01:18 CDT,0
E3644,08/06/2021 01:23 CDT,0
E3644,08/06/2021 01:28 CDT,0
E3644,08/06/2021 01:33 CDT,0
E3644,08/06/2021 01:38 CDT,0
E3644,08/06/2021 01:43 CDT,0
E3644,08/06/2021 01:48 CDT,0
E3644,08/06/2021 01:53 CDT,0
E3644,08/06/2021 02:03 CDT,0
E3644,08/06/2021 02:08 CDT,0
E3644,08/06/2021 02:13 CDT,0
E3644,08/06/2021 02:18 CDT,0
E3644,08/06/2021 02:23 CDT,0
E3644,08/06/2021 02:28 CDT,0
E3644,08/06/2021 02:33 CDT,0
E3644,08/06/2021 02:38 CDT,0
E3644,08/06/2021 02:43 CDT,0
E3644,08/06/2021 02:48 CDT,0
E3644,08/06/2021 02:53 CDT,0
E3644,08/06/2021 02:58 CDT,0
E3644,08/06/2021 03:03 CDT,0
E3644,08/06/2021 03:08 CDT,0
E3644,08/06/2021 03:13 CDT,0
E3644,08/06/2021 03:18 CDT,0
E3644,08/06/2021 03:23 CDT,0
E3644,08/06/2021 03:28 CDT,0
E3644,08/06/2021 03:33 CDT,0
E3644,08/06/2021 03:38 CDT,0
E3644,08/06/2021 03:43 CDT,0
E3644,08/06/2021 03:48 CDT,0
E3644,08/06/2021 03:53 CDT,0
E3644,08/06/2021 03:58 CDT,0
E3644,08/06/2021 04:03 CDT,0
E3644,08/06/2021 04:08 CDT,0
E3644,08/06/2021 04:13 CDT,0
E3644,08/06/2021 04:18 CDT,0
E3644,08/06/2021 04:23 CDT,0
E3644,08/06/2021 04:28 CDT,0
E3644,08/06/2021 04:33 CDT,0
E3644,08/06/2021 04:38 CDT,0
E3644,08/06/2021 04:43 CDT,0
E3644,08/06/2021 04:48 CDT,0
E3644,08/06/2021 04:53 CDT,0
E3644,08/06/2021 04:58 CDT,0
E3644,08/06/2021 05:03 CDT,0
E3644,08/06/2021 05:08 CDT,0
E3644,08/06/2021 05:18 CDT,0
E3644,08/06/2021 05:23 CDT,0
E3644,08/06/2021 05:33 CDT,0
E3644,08/06/2021 05:38 CDT,0
E3644,08/06/2021 05:43 CDT,0
E3644,08/06/2021 05:48 CDT,0
E3644,08/06/2021 05:53 CDT,0
E3644,08/06/2021 05:58 CDT,0
E3644,08/06/2021 06:03 CDT,0
E3644,08/06/2021 06:08 CDT,0
E3644,08/06/2021 06:13 CDT,0
E3644,08/06/2021 06:18 CDT,0
E3644,08/06/2021 06:23 CDT,0
E3644,08/06/2021 06:28 CDT,0
E3644,08/06/2021 06:33 CDT,0
E3644,08/06/2021 06:38 CDT,0
E3644,08/06/2021 06:43 CDT,0
E3644,08/06/2021 06:53 CDT,0
E3644,08/06/2021 06:58 CDT,0
E3644,08/06/2021 07:04 CDT,5
E3644,08/06/2021 07:08 CDT,7
E3644,08/06/2021 07:13 CDT,14
E3644,08/06/2021 07:18 CDT,18
E3644,08/06/2021 07:23 CDT,32
E3644,08/06/2021 07:28 CDT,42
E3644,08/06/2021 07:33 CDT,53
E3644,08/06/2021 07:38 CDT,69
E3644,08/06/2021 07:43 CDT,81
E3644,08/06/2021 07:48 CDT,98
E3644,08/06/2021 07:53 CDT,114
E3644,08/06/2021 07:58 CDT,132
E3644,08/06/2021 08:03 CDT,148
E3644,08/06/2021 08:08 CDT,160
E3644,08/06/2021 08:13 CDT,176
E3644,08/06/2021 08:18 CDT,192
E3644,08/06/2021 08:23 CDT,202
E3644,08/06/2021 08:28 CDT,220
E3644,08/06/2021 08:33 CDT,239
E3644,08/06/2021 08:38 CDT,257
E3644,08/06/2021 08:43 CDT,279
E3644,08/06/2021 08:48 CDT,301
E3644,08/06/2021 08:53 CDT,316
E3644,08/06/2021 08:58 CDT,332
E3644,08/06/2021 09:03 CDT,352
E3644,08/06/2021 09:08 CDT,364
E3644,08/06/2021 09:13 CDT,378
E3644,08/06/2021 09:18 CDT,390
E3644,08/06/2021 09:23 CDT,406
E3644,08/06/2021 09:28 CDT,417
E3644,08/06/2021 09:33 CDT,445
E3644,08/06/2021 09:38 CDT,457
E3644,08/06/2021 09:43 CDT,482
E3644,08/06/2021 09:48 CDT,497
E3644,08/06/2021 09:53 CDT,517
E3644,08/06/2021 09:58 CDT,533
E3644,08/06/2021 10:03 CDT,545
E3644,08/06/2021 10:08 CDT,557
E3644,08/06/2021 10:13 CDT,571
E3644,08/06/2021 10:18 CDT,591
E3644,08/06/2021 10:23 CDT,603
E3644,08/06/2021 10:28 CDT,617
E3644,08/06/2021 10:33 CDT,628
E3644,08/06/2021 10:38 CDT,636
E3644,08/06/2021 10:43 CDT,654
E3644,08/06/2021 10:48 CDT,671
E3644,08/06/2021 10:53 CDT,689
E3644,08/06/2021 10:58 CDT,691
E3644,08/06/2021 11:03 CDT,708
E3644,08/06/2021 11:08 CDT,703
E3644,08/06/2021 11:13 CDT,729
E3644,08/06/2021 11:18 CDT,747
E3644,08/06/2021 11:23 CDT,754
E3644,08/06/2021 11:28 CDT,765
E3644,08/06/2021 11:33 CDT,779
E3644,08/06/2021 11:38 CDT,789
E3644,08/06/2021 11:43 CDT,793
E3644,08/06/2021 11:48 CDT,802
E3644,08/06/2021 11:53 CDT,800
E3644,08/06/2021 11:58 CDT,821
E3644,08/06/2021 12:03 CDT,828
E3644,08/06/2021 12:08 CDT,840
E3644,08/06/2021 12:13 CDT,849
E3644,08/06/2021 12:18 CDT,853
E3644,08/06/2021 12:28 CDT,874
E3644,08/06/2021 12:33 CDT,877
E3644,08/06/2021 12:38 CDT,888
E3644,08/06/2021 12:43 CDT,889
E3644,08/06/2021 12:48 CDT,891
E3644,08/06/2021 12:53 CDT,898
E3644,08/06/2021 12:58 CDT,909
E3644,08/06/2021 13:03 CDT,904
E3644,08/06/2021 13:08 CDT,905
E3644,08/06/2021 13:13 CDT,912
E3644,08/06/2021 13:18 CDT,912
E3644,08/06/2021 13:23 CDT,914
E3644,08/06/2021 13:28 CDT,914
E3644,08/06/2021 13:33 CDT,909
E3644,08/06/2021 13:38 CDT,905
E3644,08/06/2021 13:43 CDT,900
E3644,08/06/2021 13:48 CDT,912
E3644,08/06/2021 13:53 CDT,902
E3644,08/06/2021 13:58 CDT,902
E3644,08/06/2021 14:03 CDT,904
E3644,08/06/2021 14:08 CDT,898
E3644,08/06/2021 14:13 CDT,891
E3644,08/06/2021 14:18 CDT,886
E3644,08/06/2021 14:23 CDT,877
E3644,08/06/2021 14:28 CDT,872
E3644,08/06/2021 14:33 CDT,868
E3644,08/06/2021 14:38 CDT,860
E3644,08/06/2021 14:43 CDT,849
E3644,08/06/2021 14:48 CDT,853
E3644,08/06/2021 14:53 CDT,846
E3644,08/06/2021 14:58 CDT,835
E3644,08/06/2021 15:03 CDT,826
E3644,08/06/2021 15:08 CDT,824
E3644,08/06/2021 15:13 CDT,814
E3644,08/06/2021 15:18 CDT,807
E3644,08/06/2021 15:23 CDT,802
E3644,08/06/2021 15:28 CDT,793
E3644,08/06/2021 15:33 CDT,779
E3644,08/06/2021 15:38 CDT,768
E3644,08/06/2021 15:43 CDT,765
E3644,08/06/2021 15:48 CDT,751
E3644,08/06/2021 15:53 CDT,744
E3644,08/06/2021 15:58 CDT,726
E3644,08/06/2021 16:03 CDT,714
E3644,08/06/2021 16:08 CDT,710
E3644,08/06/2021 16:13 CDT,696
E3644,08/06/2021 16:18 CDT,677
E3644,08/06/2021 16:23 CDT,673
E3644,08/06/2021 16:28 CDT,656
E3644,08/06/2021 16:33 CDT,635
E3644,08/06/2021 16:38 CDT,613
E3644,08/06/2021 16:43 CDT,603
E3644,08/06/2021 16:48 CDT,589
E3644,08/06/2021 16:53 CDT,571
E3644,08/06/2021 16:58 CDT,566
E3644,08/06/2021 17:03 CDT,550
E3644,08/06/2021 17:08 CDT,536
E3644,08/06/2021 17:13 CDT,531
E3644,08/06/2021 17:18 CDT,519
E3644,08/06/2021 17:23 CDT,492
E3644,08/06/2021 17:28 CDT,473
E3644,08/06/2021 17:33 CDT,459
E3644,08/06/2021 17:38 CDT,441
E3644,08/06/2021 17:43 CDT,425
E3644,08/06/2021 17:48 CDT,411
E3644,08/06/2021 17:53 CDT,394
E3644,08/06/2021 17:58 CDT,381
E3644,08/06/2021 18:03 CDT,369
E3644,08/06/2021 18:08 CDT,360
E3644,08/06/2021 18:13 CDT,343
E3644,08/06/2021 18:18 CDT,325
E3644,08/06/2021 18:23 CDT,311
E3644,08/06/2021 18:28 CDT,297
E3644,08/06/2021 18:33 CDT,283
E3644,08/06/2021 18:38 CDT,271
E3644,08/06/2021 18:43 CDT,253
E3644,08/06/2021 18:48 CDT,236
E3644,08/06/2021 18:53 CDT,220
E3644,08/06/2021 18:58 CDT,200
E3644,08/06/2021 19:03 CDT,185
E3644,08/06/2021 19:08 CDT,169
E3644,08/06/2021 19:13 CDT,151
E3644,08/06/2021 19:18 CDT,134
E3644,08/06/2021 19:23 CDT,120
E3644,08/06/2021 19:28 CDT,105
E3644,08/06/2021 19:33 CDT,93
E3644,08/06/2021 19:38 CDT,83
E3644,08/06/2021 19:43 CDT,70
E3644,08/06/2021 19:48 CDT,60
E3644,08/06/2021 19:53 CDT,53
E3644,08/06/2021 19:58 CDT,46
E3644,08/06/2021 20:03 CDT,40
E3644,08/06/2021 20:08 CDT,35
E3644,08/06/2021 20:13 CDT,28
E3644,08/06/2021 20:18 CDT,23
E3644,08/06/2021 20:23 CDT,18
E3644,08/06/2021 20:28 CDT,16
E3644,08/06/2021 20:33 CDT,12
E3644,08/06/2021 20:38 CDT,9
E3644,08/06/2021 20:43 CDT,5
E3644,08/06/2021 20:48 CDT,0
E3644,08/06/2021 20:53 CDT,0
E3644,08/06/2021 20:58 CDT,0
E3644,08/06/2021 21:03 CDT,0
E3644,08/06/2021 21:08 CDT,0
E3644,08/06/2021 21:18 CDT,0
E3644,08/06/2021 21:23 CDT,0
E3644,08/06/2021 21:28 CDT,0
E3644,08/06/2021 21:33 CDT,0
