obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccH2O_des,CO2_hrs,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,s,mol m⁻² s⁻¹,mmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,,,,,,µmol m⁻² s⁻¹,,,,,,,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol µmol⁻¹,,,,,,,,,,,,,,ms,ms,ms,µmol m⁻² s⁻¹,,mol m⁻² s⁻²,,,ms,,,,,s,s,s,s,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,kPa,kPa,°C,°C,µmol m⁻² s⁻¹,,,,,µmol m⁻² s⁻¹,,,°C,°C,°C,°C,°C,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,s,,,min⁻¹,min⁻¹,,s,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,, min⁻¹,,,, min⁻¹,,,,,,V,V,,,,,,,,,,,,,V,V,mV,mV,°C,°C,%,°C,mmol mol⁻¹,%,%,,V,V,V,V,V,V,V,mg,mg,hrs,mg,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,,V,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,V,V,V,V,V,V,°C,V,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1635445996,0,20211028 13:33:15,13:33:15,none,1635445996,1.01E-06,0.001010287,0.014220256,416.359,-261.0763539,-23.71964436,37.82758285,3.38E-05,0.578,3.38E-05,2.11E-05,0,28.37986284,28.37986284,3.879691473,31.91587405,1.238312103,3.879925395,2.641379371,-0.044553652,0.032319064,0.012234524,-6.32E-08,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635445996,416.359,437.448,13.6298,12.1944,414.343,13.4718,0.416546,90.828,0.0252849,28.3809,-254.203,999.9,0,0,0,0,598.173,-21.0899,422.112,442.849,1.43544,437.448,12.1944,1.23797,1.10759,10.0661,8.41421,0,0,0,0,8.85,0,97796.2,97.76,34.25,40.375,36.562,40.312,35.687,0,0,0,1635445995,0,3.264230769,-8.30666702,297.8940489,98174.12308,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-20.52686585,-3.333206969,0.331578649,0,1.445693171,-0.035031638,0.005657248,1,1,2,2-Jan,0.989102,2.63073,0.0899587,0.0938748,0.0684377,0.0639224,35523.8,38605.2,35399.4,38702.6,46863,52322.4,55438.4,62073.9,0.3014,0.2765,-0.320274,0,-244.706,999.9,35.228,26.284,13.3093,0,0,0,0.269583,0,20.1542,5.19917,12.0099,4.9758,3.294,9995.7,9999,45.3,2246.6,1.86324,1.86813,1.86784,1.86905,1.86994,1.86594,1.86705,1.86844,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18450.4,18450.5,0.15625,4.99756,0.258789,0,0.249023,4.99756,31.477,24.2364,2,-0.15963,-1.30435,28.4548,30.666,30,30.685,30.6595,-1,-30,-30,-999.9,400,0,102.765,103.325
2,1635446896,900.4000001,20211028 13:48:16,13:48:16,none,1635446896,6.64E-07,0.000663759,0.031750371,409.558,-2023.288466,-183.760749,37.19720944,2.05E-05,0.578,2.05E-05,1.28E-05,0,29.76272116,29.76272116,4.202727369,32.26399991,1.35602092,4.202891532,2.84670645,-0.02927177,0.021153335,0.008118408,-2.73E-08,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635446896,409.558,461.589,14.9304,13.868,407.542,14.7724,0.369267,90.7967,0.0261125,29.7634,-254.249,999.9,0,0,0,0,278.507,-52.0302,415.766,468.08,1.06246,461.589,13.868,1.35564,1.25917,11.4303,10.3201,0,0,0,0,6.05,0,96812.8,93.89,35.312,41.187,37.562,41.062,36.75,0,0,0,1635446896,0,3.0992,11.34692319,-400.3307696,96916.744,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-51.3912675,-3.808875422,0.367101415,0,1.0696605,-0.02803227,0.002968638,1,1,2,2-Jan,0.988679,2.63156,0.0885206,0.0974075,0.0730516,0.0700353,35510.6,38370.4,35337,38624.8,46565.9,51889.1,55363.8,61966.1,0.300225,0.27665,-0.321902,0,-244.703,999.9,35.624,27.18,14.1931,0,0,0,0.35873,0,20.1539,5.19872,12.0099,4.9756,3.294,9995.7,9999,45.6,2246.6,1.8631,1.86804,1.8678,1.86891,1.86981,1.86584,1.86692,1.8683,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18465.4,18465.5,0.15625,4.99756,0.258789,0,0.250244,4.99756,31.3026,24.2976,2,-0.277005,-1.28949,30.2749,31.9147,29.9993,31.9549,31.9376,-1,-30,-30,-999.9,400,0,102.61,103.135
3,1635447796,1800.4,20211028 14:03:16,14:03:16,none,1635447796,3.24E-07,0.000324393,0.036112351,404.242,-5311.671327,-482.3228341,36.70692991,9.89E-06,0.578,9.89E-06,6.18E-06,0,29.89136836,29.89136836,4.233937961,31.78588417,1.345820273,4.23401868,2.888117687,-0.01430571,0.01033442,0.003971283,-6.52E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635447796,404.242,478.581,14.8211,14.1656,402.226,14.6631,0.292526,90.7788,0.0255447,29.8917,-252.789,999.9,0,0,0,0,246.218,-74.3386,410.324,485.458,0.65552,478.581,14.1656,1.34544,1.28594,11.3163,10.6355,0,0,0,0,-1.76,0,100460,104.81,35.687,41.75,37.937,41.75,37.125,0,0,0,1635447796,0,1.5224,12.25615379,-577.9230733,100411.492,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-73.5103225,-3.463149343,0.341117725,0,0.6829149,-0.111196075,0.010889697,1,1,2,2-Jan,0.988005,2.63099,0.0876421,0.100073,0.0726598,0.0711391,35553.8,38279.8,35345.2,38646.9,46595.6,51858.4,55375.5,62003,0.305025,0.277475,-0.27284,0,-244.707,999.9,35.899,27.674,14.7246,0,0,0,0.344705,0,20.1548,5.19707,12.0099,4.97575,3.294,9995.7,9999,45.8,2246.6,1.8631,1.86798,1.86779,1.8689,1.86981,1.86584,1.86692,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18480.4,18480.5,0.15625,4.99756,0.26001,0,0.250244,4.99756,31.0853,24.2976,2,0.207367,-1.21037,30.6098,31.7839,29.9992,31.8265,31.8132,-1,-30,-30,-999.9,400,0,102.633,103.195
4,1635448696,2700.5,20211028 14:18:16,14:18:16,none,1635448696,2.06E-07,0.000206422,0.072994889,401.482,-18891.14064,-1715.819472,36.46527473,5.90E-06,0.578,5.90E-06,3.68E-06,0,30.41198926,30.41198926,4.362316116,29.36272674,1.280910418,4.36236876,3.081405698,-0.009103232,0.006566745,0.002536484,-2.64E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635448696,401.482,487.375,14.1028,13.8636,399.466,13.9448,0.51048,90.802,0.024674,30.4122,-258.691,999.9,0,0,0,0,1117.03,-85.8937,407.225,494.227,0.239179,487.375,13.8636,1.28056,1.25884,10.5726,10.3163,0,0,0,0,-2.9,0,107865,116.73,35.625,41.25,37.687,41.562,37.062,0,0,0,1635448696,0,1.929230769,3.17675205,-111.4188039,107891.1923,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-86.0433775,0.887154597,0.087349881,0,0.231664275,0.041872807,0.004165693,1,1,2,2-Jan,0.989924,2.63012,0.0872404,0.101502,0.0700472,0.0700812,35583.5,38247.8,35358.4,38675,46742.7,51955.3,55393.4,62047.9,0.29505,0.274825,-0.470016,0,-244.704,999.9,35.924,28.026,15.0349,0,0,0,0.325196,0,20.1527,5.19767,12.0099,4.9756,3.294,9995.7,9999,46.1,2246.6,1.8631,1.868,1.86779,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18495.4,18495.5,0.155029,4.99756,0.26001,0,0.250244,4.99756,31.2156,24.2976,2,-0.79838,-1.46446,30.7589,31.6048,29.9995,31.6132,31.5979,-1,-30,-30,-999.9,400,0,102.668,103.27
5,1635449597,3600.9,20211028 14:33:16,14:33:16,none,1635449597,-2.70E-07,-0.000270436,0.091196751,399.084,18313.29434,1662.439637,36.22794718,-7.92E-06,0.578,-7.92E-06,-4.95E-06,0,29.88987648,29.88987648,4.233574869,28.97871009,1.226815889,4.233507581,3.00675898,0.011926206,-0.00861552,-0.00331069,-4.53E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635449597,399.084,496.496,13.5145,13.7998,397.068,13.3565,0.561053,90.7538,0.023949,29.8896,-254.449,999.9,0,0,0,0,1160.31,-97.4129,404.551,503.444,-0.285259,496.496,13.7998,1.2265,1.25238,9.92711,10.2393,0,0,0,0,0.68,0,135643,157.43,34.75,38.5,36.25,38,35.75,0,0,0,1635449597,0,2.7188,6.716923097,1491.153861,134654.28,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-97.36046829,-0.336867596,0.036290088,0,-0.285502415,0.016858599,0.001905571,1,1,2,2-Jan,0.99036,2.62939,0.0868604,0.102923,0.0678456,0.0698643,35622.2,38226.7,35380.4,38712.8,46878.6,52017.1,55422.3,62106.8,0.29935,0.276325,-0.328705,0,-244.7,999.9,35.972,28.228,15.2421,0,0,0,0.293966,0,20.153,5.19917,12.0099,4.9757,3.294,9995.7,9999,46.3,2246.6,1.8631,1.86798,1.86773,1.8689,1.86981,1.86584,1.86692,1.86831,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18510.4,18510.5,0.155029,4.99756,0.26001,0,0.250244,4.99756,30.9552,24.2976,2,-0.365648,-1.32082,30.6777,31.2579,29.9994,31.2765,31.2685,-1,-30,-30,-999.9,400,0,102.725,103.369
6,1635450497,4500.9,20211028 14:48:16,14:48:16,none,1635450497,-2.26E-07,-0.000225559,0.080823556,399.153,20792.72774,1887.529967,36.2344594,-6.15E-06,0.578,-6.15E-06,-3.85E-06,0,30.69393009,30.69393009,4.433244447,27.27577919,1.209186067,4.433186155,3.22405838,0.009947161,-0.007169959,-0.002777205,-3.16E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635450497,399.153,495.429,13.3202,13.5856,397.137,13.1622,0.503138,90.7537,0.0246717,30.6937,-262.096,999.9,0,0,0,0,1120.68,-96.2761,404.541,502.252,-0.265447,495.429,13.5856,1.20886,1.23295,9.71106,10.0054,0,0,0,0,0.43,0,193503,193.4,35.187,41.875,37.5,41.562,36.812,0,0,0,1635450497,0,1.7332,-5.34307697,3584.230755,193224.4,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-96.454935,0.958018762,0.096744466,0,-0.26669645,0.013154904,0.001386507,1,1,2,2-Jan,0.989857,2.63012,0.0867129,0.102582,0.0669849,0.0689503,35573.6,38171.4,35330.5,38646.6,46867.8,51987.7,55359.3,62011.4,0.295175,0.274825,-0.582986,0,-244.7,999.9,35.801,28.379,15.3042,0,0,0,0.357729,0,20.1546,5.19797,12.0099,4.9757,3.294,9995.7,9999,46.6,2246.6,1.8631,1.86799,1.86777,1.86891,1.86981,1.86584,1.86692,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18525.4,18525.5,0.15625,4.99756,0.26001,0,0.250244,4.99756,31.1504,24.2976,2,-0.785847,-1.4643,31.2161,31.9846,30.0002,31.9918,31.9786,-1,-30,-30,-999.9,400,0,102.598,103.204
7,1635451397,5401,20211028 15:03:16,15:03:16,none,1635451397,-3.47E-07,-0.000347003,0.072152394,398.792,12861.78039,1167.54391,36.20083356,-8.97E-06,0.578,-8.97E-06,-5.60E-06,0,31.27485341,31.27485341,4.582562635,25.7823977,1.181470764,4.582470481,3.401091871,0.015302831,-0.011012676,-0.004290162,-7.47E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635451397,398.792,497.618,13.0152,13.4852,396.776,12.8572,0.437217,90.7518,0.0244281,31.2745,-261.791,999.9,0,0,0,0,1083.88,-98.8261,404.051,504.42,-0.470051,497.618,13.4852,1.18115,1.22381,9.36608,9.89438,0,0,0,0,-5.08,0,263155,258.49,35.812,40.25,37.312,40.062,36.875,0,0,0,1635451397,0,2.7316,23.52153805,4514.307679,262659.72,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-99.0921625,1.31487242,0.127866561,0,-0.4655736,-0.027378484,0.002690209,1,1,2,2-Jan,0.989281,2.62987,0.0866632,0.102928,0.0658236,0.0685857,35576.9,38162.5,35331.6,38652.1,46927.6,52016.3,55360.6,62021.1,0.297375,0.275125,-0.573017,0,-244.697,999.9,35.85,28.339,15.2908,0,0,0,0.354317,0,20.1527,5.19827,12.0099,4.97585,3.294,9995.7,9999,46.8,2246.6,1.8631,1.868,1.86772,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18540.4,18540.5,0.15625,4.99756,0.258789,0,0.249023,4.99756,30.782,24.2976,2,-0.565649,-1.43564,31.2788,31.9091,30.001,31.9191,31.9088,-1,-30,-30,-999.9,400,0,102.6,103.219
8,1635452297,6301,20211028 15:18:16,15:18:16,none,1635452297,-2.86E-07,-0.000285501,0.04747233,398.75,9677.801503,878.429637,36.19353193,-7.94E-06,0.578,-7.94E-06,-4.96E-06,0,30.32509154,30.32509154,4.340655401,27.07351563,1.175148387,4.340582889,3.165507014,0.012590603,-0.009084597,-0.003506012,-5.05E-09,3,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635452297,398.75,499.885,12.9468,13.5486,396.734,12.7888,0.280962,90.7417,0.0257782,30.3248,-244.834,999.9,0,0,0,0,883.401,-101.134,403.981,506.75,-0.601854,499.885,13.5486,1.17481,1.22943,9.28616,9.96274,0,0,0,0,2.93,0,280703,320.1,34.5,38.687,36,37.937,35.687,0,0,0,1635452297,0,1.4216,18.80923096,7561.923077,279857.32,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-101.137375,0.607891182,0.076032456,0,-0.612886575,0.074830863,0.007234209,1,1,2,2-Jan,0.987865,2.63122,0.0864899,0.103088,0.0654372,0.0686989,35536.7,38094.3,35289,38594.3,46900.5,51939.3,55306.8,61937.4,0.30845,0.27685,-0.0045523,0,-244.7,999.9,35.624,28.45,15.2934,0,0,0,0.410203,0,20.1533,5.19767,12.0099,4.97565,3.294,9995.7,9999,47.1,2246.6,1.8631,1.86798,1.86775,1.86891,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18555.4,18555.5,0.15625,4.99756,0.26001,0,0.250244,4.99756,31.107,24.2889,2,0.575944,-1.26946,31.6334,32.6444,29.9994,32.6354,32.6137,-1,-30,-30,-999.9,400,0,102.491,103.074
9,1635453197,7201.4,20211028 15:33:17,15:33:17,none,1635453197,-3.17E-07,-0.000316985,0.069694323,399.565,13596.42207,1234.175285,36.26933947,-8.18E-06,0.578,-8.18E-06,-5.11E-06,0,31.2098229,31.2098229,4.565632626,25.3944341,1.159395256,4.5655487,3.406237371,0.013979034,-0.010061814,-0.003917226,-6.24E-09,4,100,1,0,0,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0: Broadleaf,2,1635453197,399.565,494.512,12.7726,13.1997,397.549,12.6146,0.43962,90.7479,0.0241633,31.2095,-268.117,999.9,0,0,0,0,280.407,-94.9476,404.734,501.127,-0.427144,494.512,13.1997,1.15909,1.19785,9.08617,9.57483,0,0,0,0,-0.88,0,240214,185,35.875,40.25,37.5,39.812,36.812,0,0,0,1635453198,0,2.011923077,8.504273468,-11351.28204,241538.4231,15,0,--:--:--,1634338971,1634338967,0,-0.019,0.003,2.016,0.158,26,18,0.24,0.09,-95.1358,1.339536585,0.133904906,0,-0.424455317,-0.019669066,0.002057037,1,1,2,2-Jan,0.989301,2.62961,0.0867386,0.102394,0.0648458,0.0674761,35554.8,38164.3,35313.7,38632.2,46957.4,52055.7,55337.9,61994.3,0.297525,0.27495,-0.78097,0,-244.703,999.9,35.551,28.359,15.1816,0,0,0,0.372993,0,20.1531,5.19917,12.0099,4.9757,3.294,9995.7,9999,47.3,2246.6,1.8631,1.86798,1.86774,1.86891,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.016,0.158,2.016,0,0,0,0.158,0,0,0,-1,-1,-1,-1,18570.4,18570.5,0.15625,4.99756,0.258789,0,0.249023,4.99756,30.8253,24.2976,2,-0.550594,-1.45228,31.2079,32.1146,30.0008,32.1479,32.1374,-1,-30,-30,-999.9,400,0,102.555,103.172
