obs,date,temp,rel.humidity,dew.point,block,side
1,9/16/21 12:00,21.28,52.56,11.2,3,middle
2,9/16/21 12:15,21.3,52.79,11.29,3,middle
3,9/16/21 12:30,27.69,56.45,18.26,3,middle
5,9/16/21 12:45,30.82,48.36,18.68,3,middle
6,9/16/21 13:00,30.1,53.6,19.67,3,middle
7,9/16/21 13:15,30.21,53.41,19.71,3,middle
8,9/16/21 13:30,29.45,55.46,19.62,3,middle
9,9/16/21 13:45,30.47,52.94,19.81,3,middle
10,9/16/21 14:00,30.49,53.36,19.96,3,middle
11,9/16/21 14:15,29.92,53.77,19.56,3,middle
12,9/16/21 14:30,30.45,52.76,19.74,3,middle
13,9/16/21 14:45,31.05,51.94,20.04,3,middle
14,9/16/21 15:00,31.25,51.15,19.98,3,middle
15,9/16/21 15:15,31.21,51.6,20.08,3,middle
16,9/16/21 15:30,31.54,50.33,19.98,3,middle
17,9/16/21 15:45,30.4,53.01,19.77,3,middle
18,9/16/21 16:00,29.19,55.01,19.25,3,middle
19,9/16/21 16:15,29.57,54.33,19.39,3,middle
20,9/16/21 16:30,30.98,50.77,19.61,3,middle
21,9/16/21 16:45,29.91,52.52,19.17,3,middle
22,9/16/21 17:00,28.43,55.51,18.69,3,middle
23,9/16/21 17:15,27.55,58.44,18.69,3,middle
24,9/16/21 17:30,27.76,57.81,18.72,3,middle
25,9/16/21 17:45,26.3,61.4,18.3,3,middle
26,9/16/21 18:00,25.82,63.76,18.46,3,middle
27,9/16/21 18:15,25.12,64.91,18.07,3,middle
28,9/16/21 18:30,24.63,67.2,18.17,3,middle
29,9/16/21 18:45,24.21,67.93,17.94,3,middle
30,9/16/21 19:00,26.01,60.02,17.67,3,middle
31,9/16/21 19:15,28.67,54.18,18.52,3,middle
32,9/16/21 19:30,29.72,50.46,18.35,3,middle
33,9/16/21 19:45,29.88,49.35,18.14,3,middle
34,9/16/21 20:00,29.62,48.3,17.57,3,middle
35,9/16/21 20:15,29.42,47.79,17.21,3,middle
36,9/16/21 20:30,29.34,47.46,17.03,3,middle
37,9/16/21 20:45,29.24,49.18,17.51,3,middle
38,9/16/21 21:00,29.15,49.23,17.43,3,middle
39,9/16/21 21:15,29.01,50.29,17.64,3,middle
40,9/16/21 21:30,28.89,51.19,17.82,3,middle
41,9/16/21 21:45,28.79,51.22,17.74,3,middle
42,9/16/21 22:00,28.67,50.59,17.42,3,middle
43,9/16/21 22:15,28.56,50,17.14,3,middle
44,9/16/21 22:30,28.44,49.6,16.91,3,middle
45,9/16/21 22:45,28.37,49.81,16.9,3,middle
46,9/16/21 23:00,28.21,50,16.82,3,middle
47,9/16/21 23:15,28.11,50.18,16.78,3,middle
48,9/16/21 23:30,29.68,48,17.52,3,middle
49,9/16/21 23:45,29.38,47.03,16.93,3,middle
50,9/17/21 0:00,28.69,48.53,16.79,3,middle
51,9/17/21 0:15,28.15,49.47,16.6,3,middle
52,9/17/21 0:30,29.62,46.78,17.06,3,middle
