obs,date,temp,rel.humidity,dew.point,block,side
1,9/15/21 12:00,21.28,51.73,10.96,4,west
2,9/15/21 12:15,21.23,51.48,10.85,4,west
3,9/15/21 12:30,21.4,50.27,10.65,4,west
4,9/15/21 12:45,21.49,51.26,11.02,4,west
5,9/15/21 13:00,21.45,51.01,10.91,4,west
6,9/15/21 13:15,21.4,50.75,10.79,4,west
7,9/15/21 13:30,21.4,50.75,10.79,4,west
8,9/15/21 13:45,21.36,50.75,10.76,4,west
9,9/15/21 14:00,21.36,50.75,10.76,4,west
10,9/15/21 14:15,21.32,50.53,10.65,4,west
11,9/15/21 14:30,21.28,50.5,10.6,4,west
12,9/15/21 14:45,21.32,50.75,10.72,4,west
13,9/15/21 15:00,21.36,50.53,10.69,4,west
14,9/15/21 15:15,21.32,50.53,10.65,4,west
15,9/15/21 15:30,21.32,50.5,10.64,4,west
16,9/15/21 15:45,21.32,50.5,10.64,4,west
17,9/15/21 16:00,21.28,50.53,10.61,4,west
18,9/15/21 16:15,21.4,50.75,10.79,4,west
19,9/15/21 16:30,21.49,50.53,10.81,4,west
20,9/15/21 16:45,21.49,50.78,10.88,4,west
21,9/15/21 17:00,21.49,50.53,10.81,4,west
22,9/15/21 17:15,21.62,50.53,10.93,4,west
23,9/15/21 17:30,21.58,50.56,10.9,4,west
24,9/15/21 17:45,21.49,50.53,10.81,4,west
25,9/15/21 18:00,21.53,50.53,10.85,4,west
26,9/15/21 18:15,21.49,50.56,10.82,4,west
27,9/15/21 18:30,21.49,50.56,10.82,4,west
28,9/15/21 18:45,21.49,50.53,10.81,4,west
29,9/15/21 19:00,21.45,50.75,10.83,4,west
30,9/15/21 19:15,21.4,50.75,10.79,4,west
31,9/15/21 19:30,21.36,50.75,10.76,4,west
32,9/15/21 19:45,21.28,50.75,10.68,4,west
33,9/15/21 20:00,21.23,50.75,10.64,4,west
34,9/15/21 20:15,21.15,51.01,10.63,4,west
35,9/15/21 20:30,21.06,50.97,10.54,4,west
36,9/15/21 20:45,21.1,50.97,10.58,4,west
37,9/15/21 21:00,21.06,51.23,10.62,4,west
38,9/15/21 21:15,21.06,51.26,10.63,4,west
39,9/15/21 21:30,21.02,51.2,10.57,4,west
40,9/15/21 21:45,20.98,51.2,10.53,4,west
41,9/15/21 22:00,20.93,51.2,10.49,4,west
42,9/15/21 22:15,20.93,51.45,10.57,4,west
43,9/15/21 22:30,20.89,51.48,10.53,4,west
44,9/15/21 22:45,20.85,51.45,10.49,4,west
45,9/15/21 23:00,20.85,51.67,10.55,4,west
46,9/15/21 23:15,20.85,51.67,10.55,4,west
47,9/15/21 23:30,20.76,51.67,10.47,4,west
48,9/15/21 23:45,20.72,51.7,10.44,4,west
49,9/16/21 0:00,20.72,51.92,10.51,4,west
50,9/16/21 0:15,20.72,51.92,10.51,4,west
51,9/16/21 0:30,20.72,51.92,10.51,4,west
52,9/16/21 0:45,20.68,51.96,10.47,4,west
53,9/16/21 1:00,20.59,52.15,10.45,4,west
54,9/16/21 1:15,20.63,52.18,10.5,4,west
55,9/16/21 1:30,20.63,52.18,10.5,4,west
56,9/16/21 1:45,20.59,52.15,10.45,4,west
57,9/16/21 2:00,20.59,52.18,10.46,4,west
58,9/16/21 2:15,20.55,52.43,10.49,4,west
59,9/16/21 2:30,20.55,52.43,10.49,4,west
60,9/16/21 2:45,20.55,52.43,10.49,4,west
61,9/16/21 3:00,20.55,52.43,10.49,4,west
62,9/16/21 3:15,20.55,52.68,10.56,4,west
63,9/16/21 3:30,20.55,52.65,10.56,4,west
64,9/16/21 3:45,20.46,52.65,10.48,4,west
65,9/16/21 4:00,20.46,52.62,10.47,4,west
66,9/16/21 4:15,20.46,52.87,10.54,4,west
67,9/16/21 4:30,20.42,52.9,10.51,4,west
68,9/16/21 4:45,20.46,52.9,10.55,4,west
69,9/16/21 5:00,20.42,52.9,10.51,4,west
70,9/16/21 5:15,20.42,52.87,10.5,4,west
71,9/16/21 5:30,20.46,52.87,10.54,4,west
72,9/16/21 5:45,20.37,53.13,10.53,4,west
