obs,date,temp,rel.humidity,dew.point,block,side
1,9/16/21 12:00,21.21,51.63,10.87,1,east
2,9/16/21 12:15,21.28,51.85,11,1,east
3,9/16/21 12:30,27.82,60.28,19.44,1,east
4,9/16/21 12:45,30.92,51.89,19.9,1,east
5,9/16/21 13:00,28.86,57.06,19.53,1,east
6,9/16/21 13:15,28.63,57.47,19.43,1,east
7,9/16/21 13:30,28.17,59.02,19.43,1,east
8,9/16/21 13:45,28.26,58.85,19.46,1,east
9,9/16/21 14:00,28.59,59.23,19.88,1,east
10,9/16/21 14:15,27.97,59.8,19.45,1,east
11,9/16/21 14:30,26.99,62.41,19.22,1,east
12,9/16/21 14:45,26.58,63.91,19.22,1,east
13,9/16/21 15:00,26.35,65.1,19.29,1,east
14,9/16/21 15:15,26.49,66.16,19.68,1,east
15,9/16/21 15:30,27.29,62.38,19.49,1,east
16,9/16/21 15:45,28.47,60.05,19.99,1,east
17,9/16/21 16:00,29.53,55.41,19.68,1,east
18,9/16/21 16:15,29.22,56.62,19.74,1,east
19,9/16/21 16:30,29.27,56.34,19.7,1,east
20,9/16/21 16:45,28.31,58.16,19.32,1,east
21,9/16/21 17:00,29.27,55.64,19.5,1,east
22,9/16/21 17:15,28.77,56.84,19.39,1,east
23,9/16/21 17:30,26.38,62.85,18.76,1,east
24,9/16/21 17:45,26.32,63.99,18.98,1,east
25,9/16/21 18:00,25.43,66.32,18.71,1,east
26,9/16/21 18:15,24.28,69.67,18.4,1,east
27,9/16/21 18:30,23.87,71.71,18.48,1,east
28,9/16/21 18:45,23.45,72.4,18.23,1,east
29,9/16/21 19:00,25.33,62.7,17.73,1,east
30,9/16/21 19:15,28.18,56.86,18.84,1,east
31,9/16/21 19:30,29.31,50.5,17.99,1,east
32,9/16/21 19:45,29.54,48.87,17.68,1,east
33,9/16/21 20:00,29.36,47.51,17.07,1,east
34,9/16/21 20:15,29.15,46.84,16.65,1,east
35,9/16/21 20:30,29.11,46.9,16.63,1,east
36,9/16/21 20:45,29,48.76,17.14,1,east
37,9/16/21 21:00,28.89,49.28,17.22,1,east
38,9/16/21 21:15,28.77,49.99,17.33,1,east
39,9/16/21 21:30,28.7,50.74,17.5,1,east
40,9/16/21 21:45,28.56,51.14,17.5,1,east
41,9/16/21 22:00,28.44,50.18,17.09,1,east
42,9/16/21 22:15,28.29,49.62,16.78,1,east
43,9/16/21 22:30,28.2,50.19,16.87,1,east
44,9/16/21 22:45,28.1,49.58,16.58,1,east
45,9/16/21 23:00,27.97,50.15,16.65,1,east
46,9/16/21 23:15,27.85,50.67,16.7,1,east
47,9/16/21 23:30,28.37,50.3,17.06,1,east
48,9/16/21 23:45,28.47,48.86,16.7,1,east
49,9/17/21 0:00,28.1,49.74,16.64,1,east
50,9/17/21 0:15,27.78,50.46,16.57,1,east
51,9/17/21 0:30,28.57,48.72,16.74,1,east
52,9/17/21 0:45,28.13,50.15,16.79,1,east
53,9/17/21 1:00,27.71,51.32,16.77,1,east
54,9/17/21 1:15,29.43,47.71,17.19,1,east
55,9/17/21 1:30,29.47,47.89,17.29,1,east
56,9/17/21 1:45,29.27,48.26,17.23,1,east
57,9/17/21 2:00,29.24,48.59,17.32,1,east
58,9/17/21 2:15,29.23,48.75,17.36,1,east
59,9/17/21 2:30,29.28,49.04,17.49,1,east
60,9/17/21 2:45,29.34,49.17,17.59,1,east
61,9/17/21 3:00,29.42,49.48,17.76,1,east
62,9/17/21 3:15,29.62,49.49,17.95,1,east
63,9/17/21 3:30,29.64,49.58,18,1,east
64,9/17/21 3:45,29.58,49.77,18,1,east
65,9/17/21 4:00,29.52,49.83,17.97,1,east
66,9/17/21 4:15,29.41,49.82,17.86,1,east
67,9/17/21 4:30,29.46,49.86,17.92,1,east
68,9/17/21 4:45,29.47,49.95,17.96,1,east
69,9/17/21 5:00,29.52,50.08,18.05,1,east
70,9/17/21 5:15,29.52,50.24,18.1,1,east
71,9/17/21 5:30,29.49,50.44,18.14,1,east
72,9/17/21 5:45,29.38,50.95,18.2,1,east
73,9/17/21 6:00,29.51,50.63,18.21,1,east
74,9/17/21 6:15,29.54,50.69,18.26,1,east
75,9/17/21 6:30,29.52,50.75,18.26,1,east
76,9/17/21 6:45,29.48,50.73,18.22,1,east
77,9/17/21 7:00,29.47,50.83,18.24,1,east
78,9/17/21 7:15,29.38,50.77,18.14,1,east
79,9/17/21 7:30,29.45,50.67,18.17,1,east
80,9/17/21 7:45,29.46,50.71,18.19,1,east
81,9/17/21 8:00,29.51,50.55,18.19,1,east
82,9/17/21 8:15,29.68,50.48,18.32,1,east
83,9/17/21 8:30,29,51.82,18.11,1,east
84,9/17/21 8:45,29.28,51.49,18.27,1,east
85,9/17/21 9:00,22.44,67.41,16.13,1,east
86,9/17/21 9:15,23.83,63.84,16.59,1,east
87,9/17/21 9:30,23.29,65.26,16.43,1,east
88,9/17/21 9:45,26.7,55.81,17.16,1,east
89,9/17/21 10:00,25.88,59.65,17.45,1,east
90,9/17/21 10:15,25.43,61.71,17.56,1,east
91,9/17/21 10:30,25.4,63.79,18.07,1,east
92,9/17/21 10:45,28.05,53.88,17.86,1,east
93,9/17/21 11:00,29.39,53.99,19.14,1,east
94,9/17/21 11:15,31.18,49.64,19.42,1,east
95,9/17/21 11:30,32.31,46.84,19.52,1,east
96,9/17/21 11:45,32.23,47.52,19.68,1,east
97,9/17/21 12:00,29.43,54.43,19.3,1,east
98,9/17/21 12:15,28.02,58.33,19.1,1,east
99,9/17/21 12:30,27.74,57.99,18.75,1,east
100,9/17/21 12:45,28.47,57.83,19.38,1,east
101,9/17/21 13:00,28.38,56.27,18.85,1,east
102,9/17/21 13:15,28.77,55.42,18.98,1,east
103,9/17/21 13:30,29.24,52.65,18.59,1,east
104,9/17/21 13:45,29.28,53.49,18.88,1,east
105,9/17/21 14:00,29.68,53.06,19.12,1,east
106,9/17/21 14:15,29.01,55.78,19.3,1,east
107,9/17/21 14:30,28.71,56.92,19.35,1,east
108,9/17/21 14:45,28.37,55.37,18.58,1,east
109,9/17/21 15:00,27.88,58.92,19.13,1,east
110,9/17/21 15:15,27.8,58.87,19.04,1,east
111,9/17/21 15:30,28.84,56.54,19.36,1,east
112,9/17/21 15:45,30.09,53.8,19.72,1,east
113,9/17/21 16:00,31.23,50.33,19.69,1,east
114,9/17/21 16:15,31,52.35,20.12,1,east
115,9/17/21 16:30,30.49,52.11,19.58,1,east
116,9/17/21 16:45,29.16,54.99,19.21,1,east
117,9/17/21 17:00,29.92,53.52,19.48,1,east
118,9/17/21 17:15,29,55.64,19.25,1,east
119,9/17/21 17:30,26.63,61.07,18.53,1,east
120,9/17/21 17:45,27.04,60.82,18.85,1,east
121,9/17/21 18:00,26.07,62.15,18.28,1,east
122,9/17/21 18:15,24.84,66.26,18.14,1,east
123,9/17/21 18:30,24.04,68.4,17.89,1,east
124,9/17/21 18:45,23.5,69.44,17.6,1,east
125,9/17/21 19:00,23.14,71.31,17.69,1,east
126,9/17/21 19:15,26.63,56.5,17.29,1,east
127,9/17/21 19:30,28.9,49.92,17.43,1,east
128,9/17/21 19:45,29.81,46.07,16.99,1,east
129,9/17/21 20:00,30.01,46.22,17.22,1,east
130,9/17/21 20:15,29.83,46.76,17.24,1,east
131,9/17/21 20:30,29.54,47.22,17.14,1,east
132,9/17/21 20:45,29.48,46.04,16.68,1,east
133,9/17/21 21:00,29.47,46.33,16.77,1,east
134,9/17/21 21:15,29.46,45.96,16.63,1,east
135,9/17/21 21:30,29.46,45.96,16.63,1,east
136,9/17/21 21:45,29.41,45.97,16.59,1,east
137,9/17/21 22:00,29.32,46.21,16.59,1,east
138,9/17/21 22:15,29.22,46.6,16.63,1,east
139,9/17/21 22:30,29.03,48.61,17.13,1,east
140,9/17/21 22:45,28.85,48.75,17,1,east
141,9/17/21 23:00,28.71,50.9,17.56,1,east
142,9/17/21 23:15,28.56,51.94,17.74,1,east
143,9/17/21 23:30,28.48,52.25,17.77,1,east
144,9/17/21 23:45,28.4,52.44,17.75,1,east
145,9/18/21 0:00,28.29,53.48,17.96,1,east
146,9/18/21 0:15,28.19,53.58,17.9,1,east
147,9/18/21 0:30,28.15,54.04,18,1,east
148,9/18/21 0:45,28.04,53.8,17.83,1,east
149,9/18/21 1:00,28.05,54.42,18.02,1,east
150,9/18/21 1:15,28,53.74,17.77,1,east
151,9/18/21 1:30,28.87,52.47,18.19,1,east
152,9/18/21 1:45,29.36,51.37,18.31,1,east
153,9/18/21 2:00,29.43,51.19,18.31,1,east
154,9/18/21 2:15,29.37,51.44,18.34,1,east
155,9/18/21 2:30,29.28,52.06,18.44,1,east
156,9/18/21 2:45,29.22,52.12,18.41,1,east
157,9/18/21 3:00,29.27,52.35,18.52,1,east
158,9/18/21 3:15,29.27,52.44,18.55,1,east
159,9/18/21 3:30,29.19,52.66,18.55,1,east
160,9/18/21 3:45,29.2,52.65,18.55,1,east
161,9/18/21 4:00,29.31,52.32,18.55,1,east
162,9/18/21 4:15,29.5,52.51,18.79,1,east
163,9/18/21 4:30,29.44,52.69,18.78,1,east
164,9/18/21 4:45,29.48,52.87,18.88,1,east
