obs,date,temp,block,side
1,9/16/21 13:00,30.659,1,south
2,9/16/21 13:15,30.963,1,south
3,9/16/21 13:30,30.054,1,south
4,9/16/21 13:45,30.862,1,south
5,9/16/21 14:00,31.676,1,south
6,9/16/21 14:15,31.676,1,south
7,9/16/21 14:30,32.6,1,south
8,9/16/21 14:45,32.704,1,south
9,9/16/21 15:00,31.064,1,south
10,9/16/21 15:15,30.558,1,south
11,9/16/21 15:30,31.676,1,south
12,9/16/21 15:45,33.639,1,south
13,9/16/21 16:00,34.058,1,south
14,9/16/21 16:15,34.374,1,south
15,9/16/21 16:30,35.328,1,south
16,9/16/21 16:45,33.535,1,south
17,9/16/21 17:00,33.535,1,south
18,9/16/21 17:15,31.983,1,south
19,9/16/21 17:30,29.452,1,south
20,9/16/21 17:45,32.086,1,south
21,9/16/21 18:00,31.37,1,south
22,9/16/21 18:15,28.555,1,south
23,9/16/21 18:30,25.416,1,south
24,9/16/21 18:45,24.545,1,south
25,9/16/21 19:00,26.879,1,south
26,9/16/21 19:15,30.255,1,south
27,9/16/21 19:30,30.963,1,south
28,9/16/21 19:45,30.76,1,south
29,9/16/21 20:00,30.154,1,south
30,9/16/21 20:15,29.752,1,south
31,9/16/21 20:30,29.652,1,south
32,9/16/21 20:45,29.552,1,south
33,9/16/21 21:00,29.452,1,south
34,9/16/21 21:15,29.352,1,south
35,9/16/21 21:30,29.252,1,south
36,9/16/21 21:45,29.053,1,south
37,9/16/21 22:00,28.953,1,south
38,9/16/21 22:15,28.853,1,south
39,9/16/21 22:30,28.754,1,south
40,9/16/21 22:45,28.555,1,south
41,9/16/21 23:00,28.456,1,south
42,9/16/21 23:15,28.357,1,south
43,9/16/21 23:30,28.555,1,south
44,9/16/21 23:45,28.754,1,south
45,9/17/21 0:00,28.456,1,south
46,9/17/21 0:15,28.06,1,south
47,9/17/21 0:30,28.655,1,south
48,9/17/21 0:45,28.258,1,south
49,9/17/21 1:00,27.961,1,south
50,9/17/21 1:15,29.152,1,south
51,9/17/21 1:30,29.452,1,south
52,9/17/21 1:45,29.352,1,south
53,9/17/21 2:00,29.252,1,south
54,9/17/21 2:15,29.252,1,south
55,9/17/21 2:30,29.352,1,south
56,9/17/21 2:45,29.352,1,south
57,9/17/21 3:00,29.452,1,south
58,9/17/21 3:15,29.552,1,south
59,9/17/21 3:30,29.652,1,south
60,9/17/21 3:45,29.552,1,south
61,9/17/21 4:00,29.452,1,south
62,9/17/21 4:15,29.352,1,south
