obs,date,temp,block,side
1,9/16/21 13:00,25.125,1,north
2,9/16/21 13:15,25.222,1,north
3,9/16/21 13:30,25.416,1,north
4,9/16/21 13:45,25.513,1,north
5,9/16/21 14:00,25.319,1,north
6,9/16/21 14:15,25.222,1,north
7,9/16/21 14:30,24.931,1,north
8,9/16/21 14:45,25.028,1,north
9,9/16/21 15:00,24.835,1,north
10,9/16/21 15:15,24.835,1,north
11,9/16/21 15:30,24.931,1,north
12,9/16/21 15:45,25.125,1,north
13,9/16/21 16:00,24.835,1,north
14,9/16/21 16:15,25.125,1,north
15,9/16/21 16:30,24.738,1,north
16,9/16/21 16:45,24.738,1,north
17,9/16/21 17:00,24.835,1,north
18,9/16/21 17:15,24.738,1,north
19,9/16/21 17:30,25.028,1,north
20,9/16/21 17:45,24.738,1,north
21,9/16/21 18:00,25.125,1,north
22,9/16/21 18:15,24.545,1,north
23,9/16/21 18:30,24.545,1,north
24,9/16/21 18:45,24.351,1,north
25,9/16/21 19:00,26.683,1,north
26,9/16/21 19:15,29.452,1,north
27,9/16/21 19:30,30.054,1,north
28,9/16/21 19:45,29.853,1,north
29,9/16/21 20:00,29.352,1,north
30,9/16/21 20:15,29.053,1,north
31,9/16/21 20:30,28.953,1,north
32,9/16/21 20:45,28.853,1,north
33,9/16/21 21:00,28.754,1,north
34,9/16/21 21:15,28.655,1,north
35,9/16/21 21:30,28.456,1,north
36,9/16/21 21:45,28.357,1,north
37,9/16/21 22:00,28.258,1,north
38,9/16/21 22:15,28.06,1,north
39,9/16/21 22:30,28.06,1,north
40,9/16/21 22:45,27.862,1,north
41,9/16/21 23:00,27.764,1,north
42,9/16/21 23:15,27.665,1,north
43,9/16/21 23:30,27.961,1,north
44,9/16/21 23:45,28.258,1,north
45,9/17/21 0:00,27.764,1,north
46,9/17/21 0:15,27.468,1,north
47,9/17/21 0:30,28.357,1,north
48,9/17/21 0:45,27.764,1,north
49,9/17/21 1:00,27.37,1,north
50,9/17/21 1:15,29.252,1,north
51,9/17/21 1:30,29.152,1,north
52,9/17/21 1:45,28.853,1,north
53,9/17/21 2:00,28.953,1,north
54,9/17/21 2:15,29.053,1,north
55,9/17/21 2:30,29.053,1,north
56,9/17/21 2:45,29.152,1,north
57,9/17/21 3:00,29.152,1,north
58,9/17/21 3:15,29.452,1,north
59,9/17/21 3:30,29.352,1,north
60,9/17/21 3:45,29.352,1,north
61,9/17/21 4:00,29.252,1,north
62,9/17/21 4:15,29.252,1,north
63,9/17/21 4:30,29.252,1,north
64,9/17/21 4:45,29.252,1,north
65,9/17/21 5:00,29.352,1,north
66,9/17/21 5:15,29.352,1,north
67,9/17/21 5:30,29.252,1,north
68,9/17/21 5:45,29.152,1,north
69,9/17/21 6:00,29.252,1,north
70,9/17/21 6:15,29.352,1,north
71,9/17/21 6:30,29.352,1,north
72,9/17/21 6:45,29.352,1,north
73,9/17/21 7:00,29.252,1,north
74,9/17/21 7:15,29.252,1,north
75,9/17/21 7:30,29.252,1,north
76,9/17/21 7:45,29.352,1,north
77,9/17/21 8:00,29.352,1,north
78,9/17/21 8:15,29.552,1,north
79,9/17/21 8:30,28.853,1,north
80,9/17/21 8:45,29.152,1,north
81,9/17/21 9:00,21.473,1,north
82,9/17/21 9:15,24.351,1,north
83,9/17/21 9:30,23.1,1,north
84,9/17/21 9:45,27.764,1,north
85,9/17/21 10:00,25.805,1,north
86,9/17/21 10:15,24.835,1,north
87,9/17/21 10:30,25.319,1,north
88,9/17/21 10:45,26.683,1,north
89,9/17/21 11:00,26.683,1,north
90,9/17/21 11:15,27.862,1,north
91,9/17/21 11:30,29.152,1,north
92,9/17/21 11:45,28.159,1,north
93,9/17/21 12:00,25.708,1,north
94,9/17/21 12:15,25.319,1,north
95,9/17/21 12:30,25.125,1,north
96,9/17/21 12:45,25.222,1,north
97,9/17/21 13:00,25.416,1,north
98,9/17/21 13:15,24.738,1,north
99,9/17/21 13:30,24.641,1,north
100,9/17/21 13:45,24.545,1,north
101,9/17/21 14:00,24.641,1,north
