id,sample.type,sample.weight,n.retention.time,n.response,n.weight.mg,n.weight.percent,c.retention.time,c.response,c.weight.mg,c.weight.percent
r3_ln_ni_focal,unknown,2.602,2.171,272.246,0.142,5.45,3.399,5764.362,1.17,44.952
r4_hn_ni_focal,unknown,2.824,2.172,395.273,0.206,7.291,3.392,6237.305,1.266,44.816
r3_ln_yi_focal,unknown,2.877,2.18,334.983,0.174,6.065,3.393,6361.138,1.291,44.864
r4_ln_ni_focal,unknown,2.869,2.183,250.706,0.131,4.552,3.401,6236.023,1.265,44.104
r4_hn_yi_focal,unknown,2.592,2.18,360.775,0.188,7.25,3.408,5764.988,1.17,45.13
r5_hn_yi_focal,unknown,2.572,2.176,327.884,0.171,6.64,3.4,5772.529,1.171,45.54
r4_ln_yi_focal,unknown,2.75,2.171,288.412,0.15,5.463,3.387,6074.724,1.233,44.822
r5_ln_yi_focal,unknown,2.985,2.171,286.921,0.149,5.007,3.373,6480.929,1.315,44.055
r5_ln_ni_focal,unknown,2.52,2.167,202.225,0.105,4.18,3.404,5483,1.113,44.149
r6_hn_yi_focal,unknown,2.583,2.167,294.134,0.153,5.931,3.396,5752.88,1.167,45.192
r6_hn_ni_focal,unknown,2.61,2.171,359.843,0.187,7.181,3.397,5783.681,1.174,44.964
QC,unknown,2.62,2.155,529.264,0.276,10.522,3.297,9188.887,1.865,71.164
r6_ln_yi_focal,unknown,2.791,2.173,343.733,0.179,6.415,3.395,6206.911,1.259,45.125
r6_ln_ni_focal,unknown,2.942,2.187,222.019,0.116,3.931,3.395,6480.873,1.315,44.698
r7_ln_ni_focal,unknown,2.948,2.18,290.289,0.151,5.129,3.384,6541.266,1.327,45.023
r7_hn_ni_focal,unknown,2.885,2.18,405.961,0.211,7.329,3.381,6492.194,1.317,45.661
r7_ln_yi_focal,unknown,2.9,2.18,341.008,0.178,6.125,3.381,6300.592,1.278,44.084
r7_hn_yi_focal,unknown,3.017,2.177,415.748,0.217,7.178,3.373,6642.509,1.348,44.674
r8_hn_ni_focal,unknown,2.844,2.175,391.613,0.204,7.172,3.385,6331.718,1.285,45.174
r8_hn_yi_focal,unknown,2.854,2.176,332.774,0.173,6.073,3.377,6506.346,1.32,46.258
r8_ln_ni_focal,unknown,2.716,2.176,217.089,0.113,4.163,3.397,5894.145,1.196,44.034
r8_ln_yi_focal,unknown,2.51,2.184,274.595,0.143,5.698,3.421,5566.039,1.129,44.996
r10_hn_ni_focal,unknown,2.985,2.185,370.119,0.193,6.459,3.391,6702.115,1.36,45.558
QC,unknown,2.983,2.167,606.695,0.316,10.594,3.277,10376.761,2.106,70.585
r9_hn_yi_focal,unknown,2.786,2.191,398.813,0.208,7.456,3.405,6268.997,1.272,45.658
r9_hn_ni_focal,unknown,2.917,2.187,370.793,0.193,6.621,3.389,6485.221,1.316,45.112
r9_ln_yi_focal,unknown,2.793,2.193,268.624,0.14,5.01,3.4,6246.308,1.267,45.379
r9_ln_ni_focal,unknown,2.772,2.195,176.45,0.092,3.316,3.405,5999.346,1.217,43.915
r10_hn_yi_focal,unknown,2.75,2.191,321.428,0.167,6.088,3.4,6158.926,1.25,45.444
r10_ln_ni_focal,unknown,2.669,2.185,211.166,0.11,4.121,3.407,5824.54,1.182,44.281
r10_ln_yi_focal,unknown,2.961,2.192,302.861,0.158,5.328,3.387,6481.32,1.315,44.415
r11_hn_ni_focal,unknown,2.577,2.183,325.789,0.17,6.585,3.407,5753.627,1.167,45.303
r11_hn_yi_focal,unknown,3.025,2.188,395.722,0.206,6.814,3.384,6676.522,1.355,44.784
r11_ln_ni_focal,unknown,2.909,2.172,48.94,0.025,0.876,,,,
r11_ln_yi_focal,unknown,2.88,2.193,331.283,0.173,5.992,3.408,6339.758,1.286,44.666
QC,unknown,2.717,2.175,552.123,0.288,10.585,3.297,9517.846,1.931,71.08
r12_hn_ni_focal,unknown,2.891,2.191,395.624,0.206,7.128,3.404,6381.559,1.295,44.79
r12_hn_yi_focal,unknown,2.845,2.2,380.6,0.198,6.968,3.417,6272.787,1.273,44.738
r12_ln_ni_focal,unknown,2.847,2.199,198.061,0.103,3.624,3.416,6186.511,1.255,44.092
r12_ln_yi_focal,unknown,2.735,2.205,264.721,0.138,5.042,3.425,6095.752,1.237,45.224
r13_hn_ni_focal,unknown,2.61,2.215,614.563,0.32,12.265,3.305,11358.263,2.305,88.302
QC,unknown,2.562,2.195,519.107,0.27,10.554,3.321,9050.601,1.836,71.68
