id,sample.type,sample.weight,n.retention.time,n.response,n.weight.mg,n.weight.percent,c.retention.time,c.response,c.weight.mg,c.weight.percent
Bypass,bypass,0,2.164,103.521,0.054,9.046,3.507,2671.828,0.542,90.954
Bypass,bypass,0,2.157,38.377,0.02,8.558,3.565,1052.616,0.214,91.442
Blank,blank,0,,,,,,,,
Blank,blank,0,,,,,,,,
Standard,std,0.118,2.145,19.872,0.01,8.772,,,,
Standard,std,0.247,2.147,40.253,0.021,8.489,3.568,853.545,0.173,70.118
Standard,std,0.525,2.149,95.151,0.05,9.44,3.531,1895.317,0.385,73.253
Standard,std,0.76,2.155,148.013,0.077,10.144,3.499,2840.43,0.576,75.835
Standard,std,1.026,2.152,198.617,0.103,10.083,3.461,3708.654,0.753,73.345
Standard,std,2.022,2.168,402.615,0.21,10.372,3.352,7187.748,1.458,72.129
Standard,std,3.033,2.165,608.048,0.317,10.442,3.275,10465.478,2.124,70.014
QC,unknown,2.778,2.165,559.983,0.292,10.5,3.289,9673.145,1.963,70.654
r1_hn_yi_focal,unknown,2.828,2.172,363.02,0.189,6.686,3.385,6220.943,1.262,44.635
r1_ln_ni_focal,unknown,2.963,2.173,286.899,0.149,5.044,3.375,6400.66,1.299,43.832
r1_ln_yi_focal,unknown,3.01,2.173,338.932,0.177,5.865,3.368,6702.066,1.36,45.18
r5_hn_ni_focal,unknown,2.765,2.172,347.083,0.181,6.538,3.387,6192.019,1.256,45.44
r1_hn_ni_focal,unknown,2.865,2.179,357.609,0.186,6.502,3.4,6218.972,1.262,44.045
r2_hn_ni_focal,unknown,2.656,2.177,375.142,0.195,7.357,3.405,5929.395,1.203,45.298
r2_hn_yi_focal,unknown,2.522,2.183,345.34,0.18,7.132,3.419,5602.707,1.137,45.077
r2_ln_ni_focal,unknown,2.661,2.184,231.83,0.121,4.538,3.407,5806.293,1.178,44.275
r2_ln_yi_focal,unknown,2.721,2.179,279.709,0.146,5.354,3.395,6052.791,1.228,45.137
r3_hn_ni_focal,unknown,2.905,2.175,327.601,0.171,5.874,3.379,6441.205,1.307,44.991
r3_hn_yi_focal,unknown,2.716,2.171,362.019,0.189,6.943,3.391,5946.565,1.207,44.426
QC,unknown,2.712,2.156,543.649,0.283,10.442,3.284,9420.044,1.911,70.48
