id,sample.type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peak.type,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
Bypass,bypass,0,2.461,354.863,A,0.142,11.095,Ordnr,Nitrogen,3.883,7260.334,A,1.137,88.905,Ordnr,Carbon
Bypass,bypass,0,2.444,271.679,A,0.11,11.103,Ordnr,Nitrogen,3.927,5648.31,A,0.878,88.897,Ordnr,Carbon
Blank,blank,0,,,,,,,,,,,,,,
Blank,blank,0,,,,,,,,,,,,,,
Standard,std,0.087,2.439,22.987,A,0.009,10.586,Ordnr,Nitrogen,4.188,412.414,A,0.061,70.33,Ordnr,Carbon
Standard,std,0.23,2.443,56.211,A,0.023,10.006,Ordnr,Nitrogen,4.156,1056.004,A,0.16,69.432,Ordnr,Carbon
Standard,std,0.449,2.468,116.331,A,0.048,10.619,Ordnr,Nitrogen,4.147,2122.563,A,0.324,72.178,Ordnr,Carbon
Standard,std,0.745,2.445,189.122,A,0.077,10.339,Ordnr,Nitrogen,4.057,3446.072,A,0.53,71.155,Ordnr,Carbon
Standard,std,0.943,2.477,242.649,A,0.098,10.421,Ordnr,Nitrogen,4.073,4379.253,A,0.677,71.767,Ordnr,Carbon
Standard,std,1.861,2.489,487.347,A,0.192,10.317,Ordnr,Nitrogen,3.947,8351.382,A,1.315,70.639,Ordnr,Carbon
Standard,std,2.876,2.508,781.393,A,0.298,10.369,Ordnr,Nitrogen,3.912,12740.903,A,2.047,71.187,Ordnr,Carbon
QC,unknown,1.399,2.517,385.794,A,0.154,10.989,Ordnr,Nitrogen,4.14,6493.697,A,1.013,72.443,Ordnr,Carbon
r9_hn_yi_ts,unknown,3.872,2.508,185.029,A,0.075,1.947,Ordnr,Nitrogen,3.933,10591.267,A,1.685,43.508,Ordnr,Carbon
r9_ln_yi_ts,unknown,4.052,2.528,155.057,A,0.063,1.564,Ordnr,Nitrogen,3.949,11249.526,A,1.795,44.296,Ordnr,Carbon
r8_ln_yi_ts,unknown,2.965,2.525,95.305,A,0.039,1.319,Ordnr,Nitrogen,4.063,8417.313,A,1.325,44.701,Ordnr,Carbon
r12_ln_yi_ts,unknown,3.575,2.539,127.29,A,0.052,1.458,Ordnr,Nitrogen,4.032,9889.189,A,1.568,43.854,Ordnr,Carbon
r14_ln_ni_ts,unknown,3.029,2.543,61.095,A,0.025,0.826,Ordnr,Nitrogen,4.085,8645.713,A,1.363,44.991,Ordnr,Carbon
r1_hn_ni_ts,unknown,3.072,2.525,128.505,A,0.053,1.713,Ordnr,Nitrogen,4.093,8647.553,A,1.363,44.371,Ordnr,Carbon
r7_hn_ni_ts,unknown,3.512,2.547,200.052,A,0.081,2.317,Ordnr,Nitrogen,4.067,9982.785,A,1.583,45.083,Ordnr,Carbon
r13_hn_ni_ts,unknown,3.165,2.547,121.341,A,0.05,1.571,Ordnr,Nitrogen,4.083,9205.19,A,1.455,45.963,Ordnr,Carbon
r12_hn_yi_ts,unknown,3.511,2.555,188.206,A,0.077,2.184,Ordnr,Nitrogen,4.069,10020.977,A,1.59,45.277,Ordnr,Carbon
r11_hn_ni_ts,unknown,3.73,2.572,198.778,A,0.081,2.168,Ordnr,Nitrogen,4.079,10551.839,A,1.678,44.988,Ordnr,Carbon
r2_hn_ni_ts,unknown,4.09,2.584,213.531,A,0.087,2.121,Ordnr,Nitrogen,4.052,11594.842,A,1.853,45.306,Ordnr,Carbon
QC,unknown,0.482,2.535,133.413,A,0.055,11.331,Ordnr,Nitrogen,,,,,,,
r15_ln_ni_ts,unknown,3.095,2.575,122.296,A,0.05,1.619,Ordnr,Nitrogen,4.145,8980.842,A,1.418,45.809,Ordnr,Carbon
r11_ln_ni_ts,unknown,3.269,2.584,92.997,A,0.038,1.167,Ordnr,Nitrogen,4.129,9513.313,A,1.506,46.056,Ordnr,Carbon
r14_ln_yi_ts,unknown,3.247,2.585,128.885,A,0.053,1.625,Ordnr,Nitrogen,4.167,9436.224,A,1.493,45.976,Ordnr,Carbon
r12_ln_ni_ts,unknown,4.029,2.599,108.057,A,0.044,1.1,Ordnr,Nitrogen,4.071,11634.752,A,1.86,46.159,Ordnr,Carbon
r10_ln_yi_ts,unknown,3.324,2.588,103.517,A,0.042,1.277,Ordnr,Nitrogen,4.117,9661.235,A,1.53,46.03,Ordnr,Carbon
r6_ln_ni_ts,unknown,3.933,2.584,102.363,A,0.042,1.067,Ordnr,Nitrogen,4.06,11312.04,A,1.805,45.904,Ordnr,Carbon
r11_hn_yi_ts,unknown,4.042,2.588,156.417,A,0.064,1.581,Ordnr,Nitrogen,4.052,11692.98,A,1.87,46.253,Ordnr,Carbon
r4_hn_yi_ts,unknown,3.298,2.576,160.588,A,0.066,1.989,Ordnr,Nitrogen,4.109,9510.319,A,1.505,45.636,Ordnr,Carbon
r15_ln_yi_ts,unknown,3.964,2.6,161.281,A,0.066,1.662,Ordnr,Nitrogen,4.081,11460.004,A,1.83,46.173,Ordnr,Carbon
r2_ln_yi_ts,unknown,3.625,2.609,154.877,A,0.063,1.746,Ordnr,Nitrogen,4.12,10409.032,A,1.654,45.634,Ordnr,Carbon
r12_hn_ni_ts,unknown,3.989,2.6,222.678,A,0.09,2.266,Ordnr,Nitrogen,4.081,11389.018,A,1.818,45.584,Ordnr,Carbon
QC,unknown,1.669,2.572,467.897,A,0.185,11.069,Ordnr,Nitrogen,4.217,7838.866,A,1.231,73.758,Ordnr,Carbon
r7_ln_yi_ts,unknown,3.955,2.603,123.71,A,0.051,1.281,Ordnr,Nitrogen,4.173,8569.592,A,1.35,34.142,Ordnr,Carbon
r3_hn_yi_ts,unknown,2.908,2.599,152.037,A,0.062,2.137,Ordnr,Nitrogen,4.173,8470.824,A,1.334,45.878,Ordnr,Carbon
r13_hn_yi_ts,unknown,2.878,2.593,127.033,A,0.052,1.808,Ordnr,Nitrogen,4.157,8484.432,A,1.336,46.434,Ordnr,Carbon
r13_ln_ni_ts,unknown,3.603,2.617,110.603,A,0.045,1.259,Ordnr,Nitrogen,4.103,10494.565,A,1.668,46.308,Ordnr,Carbon
r4_ln_ni_ts,unknown,3.903,2.628,121.384,A,0.05,1.274,Ordnr,Nitrogen,4.076,11433.235,A,1.826,46.779,Ordnr,Carbon
QC,unknown,1.385,2.564,388.058,A,0.155,11.163,Ordnr,Nitrogen,4.236,6651.669,A,1.039,75.01,Ordnr,Carbon
